x_coord,y_coord,z_coord,HDBSCAN_cluster,stage,stage_category,health_status
-22.975914,7.715081,2.976863,2,F1,Healthy,Healthy
-7.977514,7.9056816,-11.198971,2,F1,Healthy,Healthy
-19.079731,12.558221,-1.9545557,2,F1,Healthy,Healthy
-16.304052,13.6104965,12.651837,2,F1,Healthy,Healthy
-14.899894,2.9503777,17.644695,2,F1,Healthy,Healthy
-7.3294005,-15.006004,-15.630632,2,F1,Healthy,Healthy
-5.4884486,-10.76485,-14.585367,2,F1,Healthy,Healthy
-15.175347,14.899424,-0.07696203,2,F1,Healthy,Healthy
-13.379732,10.070391,2.7343576,2,F1,Healthy,Healthy
-11.1127,4.826042,-9.304943,2,F1,Healthy,Healthy
-12.183743,15.760468,-0.65052223,2,F1,Healthy,Healthy
7.5608034,3.9423003,12.174168,2,F1,Healthy,Healthy
-11.068883,17.496801,2.512935,2,F1,Healthy,Healthy
-13.819093,11.032286,-9.311103,2,F1,Healthy,Healthy
-22.571383,1.6097218,2.2269547,2,F1,Healthy,Healthy
-6.9820933,-12.639654,-12.774506,2,F1,Healthy,Healthy
-12.918242,-2.9965868,-9.72803,2,F1,Healthy,Healthy
-8.073374,-15.649651,-14.77844,2,F1,Healthy,Healthy
-6.8427186,-12.268797,-12.508833,2,F1,Healthy,Healthy
-14.833104,4.3817635,17.989983,2,F1,Healthy,Healthy
-14.015944,0.40818003,-6.8753967,2,F1,Healthy,Healthy
-19.244537,17.137064,4.0010257,2,F1,Healthy,Healthy
-4.782439,-7.753722,-17.343584,2,F1,Healthy,Healthy
-14.144628,-3.2567594,-10.984457,2,F1,Healthy,Healthy
-7.018562,-9.659126,-18.77003,2,F1,Healthy,Healthy
-13.79848,-1.2456391,18.08118,2,F1,Healthy,Healthy
-3.8389308,7.2502103,6.4094777,2,F1,Healthy,Healthy
-12.478115,13.191129,12.611953,2,F1,Healthy,Healthy
-10.730061,-13.973634,-13.213893,2,F1,Healthy,Healthy
-5.394124,-5.7305994,-18.602915,2,F1,Healthy,Healthy
-4.7627153,-5.760806,11.267632,2,F1,Healthy,Healthy
-16.779762,10.353172,-5.239236,2,F1,Healthy,Healthy
-14.999723,-10.949248,-14.147111,2,F1,Healthy,Healthy
-4.853303,-13.743589,-16.875925,2,F1,Healthy,Healthy
-14.239436,4.656701,-11.183812,2,F1,Healthy,Healthy
-3.402897,-2.2342052,-18.161959,2,F1,Healthy,Healthy
-15.697923,-10.386501,-14.227503,2,F1,Healthy,Healthy
-13.934141,2.173702,15.040996,2,F1,Healthy,Healthy
-10.518059,3.4846334,-2.9064415,2,F1,Healthy,Healthy
-10.683872,-4.789683,-5.976093,2,F1,Healthy,Healthy
-17.10093,-10.016198,9.087188,2,F1,Healthy,Healthy
-19.678696,8.900478,11.665227,2,F1,Healthy,Healthy
-14.471355,-3.2941666,-11.074397,2,F1,Healthy,Healthy
-15.60928,15.31687,8.789486,2,F1,Healthy,Healthy
-11.946055,6.73727,-11.808833,2,F1,Healthy,Healthy
-8.898442,1.8959142,16.00858,2,F1,Healthy,Healthy
-12.002234,12.863743,-3.9781327,2,F1,Healthy,Healthy
-18.857069,5.9019475,5.9764733,2,F1,Healthy,Healthy
-11.669982,-5.693477,-11.688573,2,F1,Healthy,Healthy
-12.9272585,16.679453,-0.5675054,2,F1,Healthy,Healthy
-12.327864,-5.573839,-8.560452,2,F1,Healthy,Healthy
-18.633646,13.861962,8.014034,2,F1,Healthy,Healthy
-8.816573,-5.1174784,-11.178808,2,F1,Healthy,Healthy
-2.1174097,-4.531338,-19.575544,2,F1,Healthy,Healthy
-0.32801175,13.121541,7.0587854,2,F1,Healthy,Healthy
-6.1615343,16.962172,5.9315143,2,F1,Healthy,Healthy
-16.075562,14.304535,15.558839,2,F1,Healthy,Healthy
-13.248165,10.7262335,2.4829013,2,F1,Healthy,Healthy
-1.1675466,17.245481,-5.0183926,2,F1,Healthy,Healthy
-19.12693,1.0552539,2.5361962,2,F1,Healthy,Healthy
-6.854124,3.0020769,-13.212358,2,F1,Healthy,Healthy
-9.775991,-9.505552,-13.507855,2,F1,Healthy,Healthy
-16.462341,-2.1999228,-9.860075,2,F1,Healthy,Healthy
-4.809146,-11.543306,-15.745429,2,F1,Healthy,Healthy
-9.735059,3.0311751,-9.497746,2,F1,Healthy,Healthy
-11.913102,13.277051,0.1392171,2,F1,Healthy,Healthy
-11.240442,5.279892,-13.960974,2,F1,Healthy,Healthy
-11.043826,-9.791128,-13.44831,2,F1,Healthy,Healthy
-19.251957,14.406688,7.328781,2,F1,Healthy,Healthy
-11.043044,12.897896,-3.440127,2,F1,Healthy,Healthy
-8.396248,-10.807824,-11.120397,2,F1,Healthy,Healthy
-19.310297,12.014816,-8.2802105,2,F1,Healthy,Healthy
-12.995601,-1.6394387,-13.678252,2,F1,Healthy,Healthy
-17.432943,-3.4848719,-9.102295,2,F1,Healthy,Healthy
-23.913677,2.7364085,-4.9222965,2,F1,Healthy,Healthy
-6.1899033,-8.415371,-13.204372,2,F1,Healthy,Healthy
-2.460557,-5.4441214,-19.770489,2,F1,Healthy,Healthy
-14.073833,15.332689,0.16465858,2,F1,Healthy,Healthy
-11.46698,19.309582,4.884177,2,F1,Healthy,Healthy
-16.383406,15.604782,5.4569654,2,F1,Healthy,Healthy
-8.129394,-17.091831,-15.170688,2,F1,Healthy,Healthy
-10.041438,4.099488,-6.9252057,2,F1,Healthy,Healthy
-16.440802,-1.8100314,-9.16279,2,F1,Healthy,Healthy
-12.948083,14.520226,3.2889078,2,F1,Healthy,Healthy
-5.814044,-10.588077,-14.691231,2,F1,Healthy,Healthy
-10.178014,12.949173,-0.61736214,2,F1,Healthy,Healthy
-17.197418,3.2557132,3.1009576,2,F1,Healthy,Healthy
-16.093447,1.7768855,-7.5675597,2,F1,Healthy,Healthy
-20.123116,1.8908985,1.7485176,2,F1,Healthy,Healthy
-15.790913,-6.329065,-8.673391,2,F1,Healthy,Healthy
-4.670944,-4.043218,-14.953011,2,F1,Healthy,Healthy
-11.214191,4.6553693,15.874069,2,F1,Healthy,Healthy
-11.331924,-6.232166,-10.54491,2,F1,Healthy,Healthy
-5.144538,-9.896404,-17.28047,2,F1,Healthy,Healthy
-19.466381,5.4834914,-13.683042,2,F1,Healthy,Healthy
-9.763624,0.8794221,-3.0538552,2,F1,Healthy,Healthy
-9.612677,14.431836,8.341298,2,F1,Healthy,Healthy
-12.536664,9.643881,-9.984702,2,F1,Healthy,Healthy
-13.79611,2.2095995,-13.361976,2,F1,Healthy,Healthy
-0.8479383,-3.0791812,-20.673018,2,F1,Healthy,Healthy
-1.1825687,10.833329,10.079176,2,F1,Healthy,Healthy
-19.663546,12.000829,-10.910157,2,F1,Healthy,Healthy
-10.374779,12.466503,13.81703,2,F1,Healthy,Healthy
-15.905396,13.668064,13.961671,2,F1,Healthy,Healthy
-11.47062,4.9054375,17.976929,2,F1,Healthy,Healthy
-19.185839,11.263513,-3.0322938,2,F1,Healthy,Healthy
-9.268967,-11.960305,-10.69887,2,F1,Healthy,Healthy
-16.383085,1.0529152,-13.025754,2,F1,Healthy,Healthy
-11.940015,-7.478354,-10.601148,2,F1,Healthy,Healthy
-15.951491,10.07122,-1.8295616,2,F1,Healthy,Healthy
-20.518192,16.159039,3.3032126,2,F1,Healthy,Healthy
-4.786013,-13.084702,-17.221554,2,F1,Healthy,Healthy
-16.81275,4.585012,7.219856,2,F1,Healthy,Healthy
-8.127948,-9.064766,-12.235159,2,F1,Healthy,Healthy
-8.95563,-13.188763,-11.129104,2,F1,Healthy,Healthy
-15.808902,13.715093,0.1757584,2,F1,Healthy,Healthy
-12.982942,4.889029,18.333792,2,F1,Healthy,Healthy
-12.410227,-3.3878312,-11.277446,2,F1,Healthy,Healthy
-17.404627,6.001996,6.9092264,2,F1,Healthy,Healthy
